nu,ella4
0.509801,0.185185
0.538897,0.277778
0.588361,0.388889
0.629096,0.555556
0.678560,0.777778
0.730934,1.11111
0.789127,1.47222
0.835681,1.82407
0.864778,2.12963
0.917152,2.56481
0.949158,2.90741
0.984074,3.25926
1.02772,3.71296
1.04809,4.02778
1.08009,4.46296
1.12083,4.91667
1.15865,5.55556
1.20521,6.11111
1.24885,6.61111
1.28668,7.15741
1.32159,7.58333
1.36524,8.08333
1.40597,8.56481
1.45835,8.96296
1.51654,9.26852
1.57764,9.40741
